Total requests:301
HANDLER                       INFO           DEBUG          WARNING        ERROR          CRITICAL       
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/dashboard/             1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 2              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/admin/login/                 1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/auth/login/           1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/cart/                 1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/checkout/             1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/orders/               1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/payments/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             2              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/products/             1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/reviews/              1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/shipping/             1              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
/api/v1/support/              2              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
/api/v1/support/              1              0              0              0              0              
